Shop/Vendor,Link,Location
Martian Toys / Mothership Gallery,https://martiantoys.com/collections/sofubi,"Philadelphia, PA"
Monster Patrol Toys,https://monsterpatroltoys.com/,"Los Angeles, CA"
My Plastic Heart,https://www.myplasticheart.com/,"Brooklyn, NY"
Otakumerica,https://www.otakumerica.com/,
Pop Monster,https://www.popmonster.net/about.html,"Torrance, CA"
Q Pop Shop,https://qpopshop.com/,"Los Angeles, CA"
Rip City Kaiju,https://www.ebay.com/str/ripcitykaiju,
Rotofugi,https://rotofugi.com/,"Chicago, IL"
Scum Pit Comics,https://www.instagram.com/scumpitcomics/,"Albuquerque, NM"
Strangecat Toys,https://www.strangecattoys.com/,"Tampa, FL"
Super7,https://super7.com/,"San Francisco & San Diego, CA"
The Outer Limits,https://shop.outerlimitsstudios.com/,"Brunswick, ME"
Toy Art Gallery,https://www.toyartgallery.com/,"Los Angeles, CA"
Toy Lair,https://www.instagram.com/toy_lair/,"Richmond, VA"
Toy Tokyo,https://toytokyo.com/collections/sofubi,"New York, NY"
Ultra Pop!,https://www.instagram.com/ultrapopshop,"Louisville, KY"
Vicious Fun,https://viciousfun.com/,
Vintage Selection,https://www.instagram.com/_vintageselection/,"Whitter, CA"
Woot Bear,https://wootbear.com/,"San Francisco, CA"
Global Figure Showcase,https://www.instagram.com/global.figure.showcase/,
